 2.40458e-02   6.56154e+08   2.46546e-02   5.10278e+08
 1.01076e+03   2.22726e+08   1.00391e+03   1.86789e+08
 2.02150e+03   9.89584e+07   2.00780e+03   8.75184e+07
 3.03223e+03   6.47396e+07   3.01168e+03   5.99717e+07
 4.04297e+03   4.93365e+07   4.01557e+03   4.71941e+07
 5.05371e+03   3.95527e+07   5.01945e+03   3.80953e+07
 6.06444e+03   3.11974e+07   6.02334e+03   2.98711e+07
 7.07518e+03   2.50802e+07   7.02722e+03   2.40879e+07
 8.08591e+03   1.96890e+07   8.03111e+03   1.86570e+07
 9.09665e+03   1.47660e+07   9.03499e+03   1.38388e+07
 1.01074e+04   1.08814e+07   1.00389e+04   1.01030e+07
 1.11181e+04   7.82293e+06   1.10428e+04   7.10419e+06
 1.21289e+04   5.43935e+06   1.20466e+04   4.93566e+06
 1.31396e+04   3.91467e+06   1.30505e+04   3.58010e+06
 1.41503e+04   2.80490e+06   1.40544e+04   2.52068e+06
 1.51611e+04   1.99461e+06   1.50583e+04   1.79721e+06
 1.61718e+04   1.33075e+06   1.60622e+04   1.21880e+06
 1.71825e+04   1.03405e+06   1.70661e+04   9.41489e+05
 1.81933e+04   7.95041e+05   1.80700e+04   7.19751e+05
 1.92040e+04   6.81467e+05   1.90738e+04   6.43196e+05
 2.02148e+04   5.27595e+05   2.00777e+04   5.20940e+05
 2.12255e+04   4.57936e+05   2.10816e+04   4.35343e+05
 2.22362e+04   3.72612e+05   2.20855e+04   3.44419e+05
 2.32470e+04   3.38209e+05   2.30894e+04   3.29541e+05
 2.42577e+04   2.74512e+05   2.40933e+04   2.59207e+05
 2.52684e+04   2.00979e+05   2.50972e+04   1.90417e+05
 2.62792e+04   1.75155e+05   2.61010e+04   1.64806e+05
 2.72899e+04   1.30286e+05   2.71049e+04   1.26788e+05
 2.83006e+04   1.29663e+05   2.81088e+04   1.23643e+05
 2.93114e+04   9.87133e+04   2.91127e+04   8.91728e+04
 3.03221e+04   7.13118e+04   3.01166e+04   6.97294e+04
 3.13328e+04   6.69569e+04   3.11205e+04   6.31189e+04
 3.23436e+04   4.42449e+04   3.21244e+04   3.84106e+04
 3.33543e+04   2.83619e+04   3.31282e+04   2.91836e+04
 3.43651e+04   2.81864e+04   3.41321e+04   2.52673e+04
 3.53758e+04   2.36898e+04   3.51360e+04   1.99973e+04
 3.63865e+04   1.35027e+04   3.61399e+04   1.38550e+04
 3.73973e+04   1.04426e+04   3.71438e+04   9.36230e+03
 3.84080e+04   8.44844e+03   3.81477e+04   7.58015e+03
 3.94187e+04   6.64072e+03   3.91516e+04   5.89208e+03
 4.04295e+04   4.37490e+03   4.01554e+04   4.13012e+03
 4.14402e+04   2.82909e+03   4.11593e+04   2.16851e+03
 4.24509e+04   1.58826e+03   4.21632e+04   1.94851e+03
 4.34617e+04   1.99857e+03   4.31671e+04   1.64918e+03
 4.44724e+04   1.19002e+03   4.41710e+04   1.35195e+03
 4.54832e+04   6.45905e+02   4.51749e+04   2.79510e+02
 4.64939e+04   2.21450e+02   4.61788e+04   2.59840e+02
 4.75046e+04   4.12520e+02   4.71826e+04   5.83730e+02
 4.85154e+04   2.09600e+02   4.81865e+04   1.07500e+00
 4.95261e+04   1.12290e+02   4.91904e+04   1.11215e+02
 5.05368e+04   2.30000e+00   5.01943e+04   2.30000e+00
